"price","host_is_superhost","neighborhood","latitude","longitude","property_type","accommodates","bedrooms","beds","cleaning_fee","minimum_nights","availability_365","review_scores_rating","cancellation_policy"
225,"False","Manhattan",40.75362,-73.98377,"Appartment",2,0,1,95,3,365,94,"strict"
200,"False","Manhattan",40.74767,-73.975,"Appartment",2,1,1,125,3,0,90,"moderate"
60,"False","Brooklyn",40.68688,-73.95596,"Appartment",2,1,1,0,29,365,90,"strict"
79,"False","Manhattan",40.76489,-73.98493,"Appartment",2,1,1,15,2,272,84,"strict"
79,"False","Manhattan",40.80178,-73.96723,"Appartment",1,1,1,0,2,0,98,"flexible"
150,"True","Manhattan",40.71344,-73.99037,"Appartment",2,1,1,40,1,307,94,"strict"
99,"True","Manhattan",40.7616,-73.98893,"Appartment",2,1,1,0,2,0,97,"flexible"
160,"False","Manhattan",40.73552,-74.01042,"Appartment",2,1,1,80,3,116,97,"moderate"
89,"True","Brooklyn",40.66829,-73.98779,"House",2,1,0,67,4,352,94,"strict"
85,"False","Manhattan",40.79826,-73.96113,"Appartment",1,1,1,80,2,365,93,"strict"
120,"False","Manhattan",40.7353,-74.00525,"Appartment",1,1,1,150,30,278,97,"strict"
140,"False","Brooklyn",40.70837,-73.95352,"Appartment",3,1,1,90,2,40,91,"strict"
65,"True","Manhattan",40.78962,-73.94802,"Appartment",1,1,1,0,30,365,98,"moderate"
144,"True","Brooklyn",40.69121,-73.97277,"Appartment",4,1,2,45,1,298,97,"moderate"
50,"False","Manhattan",40.79685,-73.94872,"Appartment",4,1,0,40,7,355,95,"flexible"
299,"False","Brooklyn",40.71842,-73.95718,"Appartment",4,1,2,120,3,0,98,"strict"
115,"False","Brooklyn",40.6796,-73.97745,"PrivateRoom",4,1,2,15,1,135,93,"moderate"
120,"False","Brooklyn",40.68371,-73.94028,"Appartment",5,1,4,90,2,0,95,"strict"
80,"False","Manhattan",40.86754,-73.92639,"Appartment",2,1,1,25,4,0,95,"moderate"
175,"True","Manhattan",40.7292,-73.98542,"Appartment",3,1,1,100,3,117,94,"strict"
50,"False","Manhattan",40.82245,-73.95104,"Appartment",2,1,1,15,3,340,88,"moderate"
52,"False","Manhattan",40.81305,-73.95466,"Appartment",2,1,1,50,2,354,98,"strict"
50,"False","Manhattan",40.8213,-73.95318,"Appartment",2,1,2,15,3,365,89,"moderate"
70,"False","Brooklyn",40.6831,-73.95473,"Appartment",3,1,0,0,1,365,93,"strict"
89,"True","Brooklyn",40.66869,-73.9878,"House",2,1,0,69,4,365,95,"strict"
85,"False","Brooklyn",40.70186,-73.92745,"Appartment",2,1,1,50,2,0,87,"strict"
40,"True","Manhattan",40.71401,-73.98917,"Appartment",1,1,0,0,1,306,96,"strict"
59,"False","Manhattan",40.7229,-73.98199,"Appartment",2,1,1,30,2,90,88,"strict"
150,"False","Manhattan",40.81175,-73.94478,"Appartment",3,1,1,0,7,357,96,"moderate"
150,"True","Brooklyn",40.65944,-73.96238,"Appartment",2,1,1,125,14,156,97,"strict"
130,"True","Queens",40.74771,-73.9474,"House",4,1,2,0,2,167,98,"strict"
110,"False","Brooklyn",40.68111,-73.95591,"Appartment",2,1,1,100,7,65,89,"strict"
120,"False","Brooklyn",40.68554,-73.9409,"House",5,2,2,85,3,37,95,"strict"
80,"True","Brooklyn",40.69142,-73.97376,"Appartment",2,1,0,50,1,214,94,"strict"
80,"False","Brooklyn",40.68064,-73.94039,"House",2,1,1,35,1,312,93,"strict"
228,"False","Brooklyn",40.7042,-73.9356,"Appartment",2,2,0,128,3,170,94,"strict"
149,"False","Brooklyn",40.73506,-73.95392,"Appartment",4,1,2,60,2,288,97,"strict"
200,"False","Manhattan",40.73961,-73.98074,"Appartment",1,1,1,150,7,341,96,"strict"
150,"False","Brooklyn",40.70881,-73.9593,"Appartment",2,1,1,100,30,311,97,"strict"
110,"False","Manhattan",40.72004,-73.99104,"Appartment",1,1,1,0,5,365,98,"strict"
69,"False","Manhattan",40.75531,-73.99293,"Appartment",1,1,1,0,2,341,93,"strict"
180,"False","Manhattan",40.72297,-73.99684,"Appartment",2,1,2,175,7,89,91,"moderate"
90,"True","Brooklyn",40.71185,-73.96204,"Appartment",1,1,1,100,2,215,97,"strict"
400,"False","Manhattan",40.74623,-73.9953,"Appartment",4,2,2,125,14,150,100,"strict"
200,"True","Manhattan",40.77065,-73.95269,"Appartment",6,2,4,200,1,279,94,"strict"
89,"False","Brooklyn",40.67695,-74.01121,"House",4,1,1,60,12,1,79,"strict"
130,"False","Manhattan",40.7236,-73.98466,"Appartment",2,1,1,0,3,65,87,"strict"
200,"True","Brooklyn",40.67811,-73.96428,"Appartment",8,4,4,200,28,355,99,"strict"
